Course ID,Course Name,Description,Terms Offered,Equivalent Courses,Instructors,Prerequisites
CLCV 25521,The Sublime.  100 Units.,"The sublime has traditionally been thought to have had a merely marginal place in ancient Greek and Latin aesthetics and literary theory; but some scholars have recently argued that it was instead more central, and it is difficult not to apply this category to many ancient literary works. However the explicit category of the sublime did not become central to European aesthetics until the 17th century and then continued until the 19th century to play a central role in discussions not only of art and literature, but also of religion, politics, and other fields. By the middle of the 19th century the wave of interest in the sublime seems to have subsided, but in the past forty years this concept has returned to play an important role in aesthetic theories. 
The seminar will consider the odd history of the sublime, examining central texts from ancient (Longinus), early modern (Boileau), and modern aesthetics (certainly Burke, Kant, Schiller, and Hegel; perhaps also, depending on students' interest and preparation, Tieck, Schlegel, Schelling, Solger, and Jean Paul) as well as some more recent discussions (again depending on student preferences, Nietzsche, Lyotard, Adorno, Zizek). It will also ask whether the concept of the sublime can still play an important role today, or, if not, then what has taken its place. We will deal primarily with theories of the sublime but also to some extent with works of art. Open to undergraduates with consent.",Spring,"CMLT 35993, CLAS 35521, SCTH 35993",Glenn Most,None
CLCV 25700,Ancient Empires I: The Hittite Empire.  100 Units.,"This course introduces students to the Hittite Empire of ancient Anatolia. In existence from roughly 1750-1200 BCE, and spanning across modern Turkey and beyond, the Hittite Empire is one of the oldest and largest empires of the ancient world. We will be examining their history and their political and cultural accomplishments through analysis of their written records - composed in Hittite, the world's first recorded Indo-European language - and their archaeological remains. In the process, we will also be examining the concept of ""empire"" itself: What is an empire, and how do anthropologists, archaeologists, and historians study this unique kind of political formation?",Winter,"HIST 15602, NEHC 20011, SOSC 20011",James Osborne,None
CLCV 25800,Ancient Empires II: The Ottoman Empire.  100 Units.,"The Ottomans ruled in Anatolia, the Middle East, South East Europe and North Africa for over six hundred years. The objective of this course is to understand the society and culture of this bygone Empire whose legacy continues, in one way or another, in some twenty-five contemporary successor states from the Balkans to the Arabian Peninsula. The course is designed as an introduction to the Ottoman World with a focus on the cultural history of the Ottoman society. It explores identities and mentalities, customs and rituals, status of minorities, mystical orders and religious establishments, literacy and the use of the public sphere.",Autumn,"MDVL 20012, SOSC 20012, NEHC 20012, HIST 15603",Hakan Karateke,None
CLCV 25900,Ancient Empires III :The Egyptian Empire of the New Kingdom.  100 Units.,"For most of the duration of the New Kingdom (1550-1069 BC), the ancient Egyptians were able to establish a vast empire and becoming one of the key powers within the Near East. This course will investigate in detail the development of Egyptian foreign policies and military expansion which affected parts of the Near East and Nubia. We will examine and discuss topics such as ideology, imperial identity, political struggle and motivation for conquest and control of wider regions surrounding the Egyptian state as well as the relationship with other powers and their perspective on Egyptian rulers as for example described in the Amarna letters.",Winter,"NEHC 20013, SOSC 20013, HIST 15604",Brian Muhs,None
CLCV 25923,"Image, Iconoclasm, Animation.  100 Units.","This course will explore the fantasies of the animation of images both ancient and early Christian, both secular and sacred, as the backdrop to examining the phenomenon of iconoclasm as an assault on the image from pre-Christian antiquity via Byzantium to the Protestant Reformation.  It will tackle both texts and images, the archaeological context of image-assault and the conceptual (indeed theological) contexts within which such assault was both justified and condemned. These historical issues cannot be separated, in our scholarly approaches and responses, from a vibrant contemporary culture around question of virtuality, animation, image-worship and image-destruction in the current world.  The course will provide space to reflect on the problems raised by this. The course will be taught over the first four and a half weeks in the Spring Quarter on an intensive  schedule.  It will be examined on the basis of a paper, due on a subject to be agreed and on a date to be agreed at the end of the Spring quarter.",Spring,"MDVL 28311, CLAS 35923, ARTH 38311, ARTH 28311, RLVC 38311, KNOW 38311, RLST 28311",Jaś Elsner,None
CLCV 26020,The Gospel of John.  100 Units.,"This is the third course in the Introductory Koine Greek Sequence of the Divinity School. This course will use what students have learned in terms of grammar, syntax, and vocabulary in the first two quarters and will apply these skills to the translation and exegesis of specific Biblical passages.",Spring,"RLST 22020, CLAS 36020, BIBL 36020",Erin Galgay Walsh,None
CLCV 26119,Muses and Saints: Poetry and the Christian Imagination.  100 Units.,"This course provides an introduction to the poetic traditions of early Christians and the intersection between poetic literature, theology, and biblical interpretation. Students will gain familiarity with the literary context of the formative centuries of Christianity with a special emphasis on Greek and Syriac Christians in the Eastern Mediterranean from the fourth through the sixth centuries. While theology is often taught through analytical prose, theological reflection in late antiquity and early Byzantium was frequently done in poetic genres. This course introduces students to the major composers and genres of these works as well as the various recurrent themes that occur within this literature. Through reading poetry from liturgical and monastic contexts, students will explore how the biblical imaginations of Christians were formed beyond the confines of canonical scripture. How is poetry a mode of ""doing"" theology? What habits of biblical interpretation and narration does one encounter in this poetry? This course exposes students to a variety of disciplinary frameworks for studying early Christian texts including history, religious studies, feminist and literary critique, as well as theology. Students will also analyze medieval and modern poetry with religious themes in light of earlier traditions to reflect on the poetry and the religious imagination more broadly.",Spring,"BIBL 33000, MDVL 23000, HCHR 33000, RLST 23000, RLVC 33000, GNSE 24104, CLAS 36119, GNSE 34104, ENGL 33809",Erin Galgay Walsh,None
CLCV 26324,Aristophanes takes on Euripides.  100 Units.,"Criticism of new-fangled takes on established art forms is at least as old as ... Aristophanes. 
Aristophanes is not a fan of Euripides, and tells us so to hilarious effect. Starting with the Frogs, we will examine a number of plays of Aristophanes in which he takes on Euripides, 
and in addition, we read some of the Euripidean plays that appear to have inspired the criticism, such as Euripides' Helen in combination with Aristophanes' Thesmophoriazusae.",Winter,"GREK 36324, GREK 26324, CLAS 36324",Helma Dik,None
CLCV 27320,Greek Archaeology in 20 Objects.  100 Units.,"This course centers the objects of the ancient Greek world, from prehistory to the Hellenistic period, as avenues for exploring the practice, history, and motivations of the discipline of Greek archaeology. From the mundane to the spectacular, we will closely consider twenty things - pots, statues, coins, knives, bones, inscriptions, among others - whose compelling if fragmentary biographies reveal how archaeologists reconstruct and explain ancient social lives. Discussions will interrogate histories of object analysis, identification, and interpretation; schemes of periodization and categorization; theories of gender, class, economy, politics, and religion; developments in technologies and aesthetics; the intersections of artifact discovery and museum or market acquisitions; and the making of Greek archaeology within the wider discipline.",Autumn,CLAS 37320,C. Kearns,None
CLCV 27423,"Leo Strauss' Philosophical ""Autobiography""  100 Units.","Leo Strauss did not write an autobiography. However, he did mark out his path of
thought through autobiographical reflections on the decisive challenges to which his oeuvre responded. The philosophically most demanding confrontation that Strauss presented on the question of how he became what he was is the so-called
Autobiographical Preface of 1965, which he included in the American translation of his first book, ""Spinoza's Critique of Religion"" (originally published in 1930). Two
decades earlier, in the lecture The Living Issues of German Postwar Philosophy (1940), he made a first autobiographical attempt to publicly ascertain himself and determine his position. And in 1970 he published the concise retrospective A Giving of Accounts.
The seminar will make these writings - which illuminate the significance of
Nietzsche and Heidegger for Strauss and address his early engagement with
revealed religion and politics, in a constellation ranging from Hermann Cohen and
Franz Rosenzweig to Karl Barth and Carl Schmitt - the subject of a close reading.
Selected letters to Karl Löwith, Gershom Scholem and others will be used as
supplementary texts.",Spring. Spring 2024,"SCTH 37326, FNDL 27007, PHIL 37326, SCTH 27326, PHIL 27326, CLAS 37423, DVPR 37326",Heinrich Meier,None
CLCV 27522,Praising the Gods: Greek Hymnic Poetry and Its Context.  100 Units.,"In this course we will read a broad range of Greek hymnic poetry, starting with Hesiod's invocation to the Muses in the Theogony, followed by a selection from the Homeric Hymns, the Orphic hymns, and later literary or philosophical hymns by Callimachus and Proclus. Close readings will explore matters of language, genre, and literary tropes, as well as the evolving religious and cultural context of the hymns through the long chronological span in which the genre was productive in Greek antiquity.",Winter,"HREL 47518, GREK 27122, GREK 37122, CLAS 37522, RLST 27518",Carolina López-Ruiz,None
CLCV 27623,Three Comedies of Sexual Revolution.  100 Units.,"This seminar will discuss three comedies of sexual revolution from three different times and places. Aristophanes's Assemblywomen recounts how under the leadership of the able Praxagora the women of Athens take over the Assembly and legislate a new regime in which private property is replaced by communism and sexual equity is achieved in favor of the old and unattractive at the expense of the young and attractive. Machiavelli's Mandragola dramatizes the tricks by which young Callimaco manages with the aid of the trickster parasite Ligurio to have sex with Lucrezia, the beautiful young wife of the elderly lawyer Nicomaco, with the consent of both her and her husband, ushering in a new regime in which all are satisfied. In Shakespeare's Measure for Measure Angelo the interim duke of Vienna institutes a repressive sexual regime in which the brothels are closed and extramarital sex is a capital crime. What might we learn about sexual relations from these diverse plays? Why are they comedies?",Spring. Spring 2024,"PLSC 35997, SCTH 35997, PLSC 25997, CMLT 25823, CLAS 37623, FNDL 21772, GNSE 35997, GNSE 25997, CMLT 35997, SCTH 25823",Nathan Tarcov & Glenn Most,None
CLCV 27723,Herodotus.  100 Units.,"Interpretation of Herodotus' history, with close attention to philological, literary, and philosophical issues.",Spring. Spring 2024,"CLAS 37723, SCTH 25923, SCTH 35998",Glenn W. Most,None
CLCV 27923,Textual Amulets in the Ancient Mediterranean.  100 Units.,"Amulets with inscribed texts were used broadly by individuals and households and across ancient Mediterranean cultures for protection against evils, for curing disease, and for obtaining advantage over adversaries in all walks of life. In this course, we will survey a broad range of such amulets coming from the Levant, Mesopotamia, the Phoenician-Punic world, Greece and southern Italy, and inscribed on such varied materials as sheets of gold and silver, papyri, ostraca and gems, while scrutinizing their material aspects, their cultural context, and their shared and distinctive features.",Spring,"RLST 20130, NEHC 40130, HREL 40130, NEHC 20130, CLAS 37923","Carolina Lopez-Ruiz, Sofia Torallas-Tovar, Christopher Faraone",None
CLCV 28024,Poetry of war and Peace.  100 Units.,"War and its fallout have been a central part of the human experience, sparking the fascination of poets and audiences alike. Along with war comes the concept of peace, both in life and in poetry. In this course, we will use poetry and poetic texts to explore different possibilities for understanding the fundamental tension that exists between the quasi-universal notion that ""no one is so foolish as to choose war over peace"" (Herodotus, 1.87), and the fact that war has been our constant companion. Along the way, we will examine how poets across a spectrum of cultures, eras, and genres have given life to rich expressions of hope, fear, and everything in between, and ask ourselves how these poets succeed in illuminating these parts of the human experience, and to what effect. Homer and Vergil will be our guides through the first part of the quarter, but in the second half we will explore poetries of war and peace from around the world, up to the present.",Spring,CLAS 38024,Jonah Radding,None
CLCV 28322,Art and Religion from the Roman to the Christian Worlds.  100 Units.,"This course will be an introduction to Roman and early Christian art from the early empire to late antiquity. It will explore the significance of the changes in visual production in relation to different attitudes to religion and society; its specific and conflictive historiography; the particular issues involved in the move to Christianity and a Christian visual culture. We shall veer between an empirical inductive approach, looking at lots of stuff and a more general account of theoretical overviews that have been offered for Roman and late art - overviews that have been influential in the broader historiography of art history as a discipline.",Spring,"CLAS 38322, RLVC 38330, RLST 28330, ARTH 28330, ARTH 38330",Jaś Elsner,None
CLCV 28323,Art and Description in Antiquity and Byzantium.  100 Units.,"This course explores the rich tradition of ekphrasis in Greco-Roman  antiquity and Byzantium - as it ranges from vivid description in general to a specific engagement with works of art.  While the prime focus will remain on texts from Greece, Rome and Byzantium - in order to establish what might be called the ancestry of a genre in the European tradition and especially its fascinating place between pagan polytheistic and Christian writing --  there will be opportunity in the final paper to range beyond this into questions of comparative literature, art (history) writing and ekphrasis in other periods or contexts, depending on students' interests and needs. A reading knowledge of Greek in particular could not be described as a disadvantage, but the course can be taken without knowing the ancient languages.   The course will be taught over the first 4 and a half weeks in the Spring Quarter on an intensive  schedule.  It will be examined on the basis of a paper, due on a subject to be agreed and on a date to be agreed at the end of the Spring quarter.",Spring,"MDVL 28325, ARTH 38325, KNOW 38325, RLVC 38325, RLST 28325, CLAS 38323, ARTH 28325",Jaś Elsner and Karin Krause,None
CLCV 28422,How Did The Ancients Interpret Their Myths?  100 Units.,"How did the ancient Greeks interpret their own narratives about the gods? How did their encounter with Near Eastern mythologies shape their own story-telling, and how did their understanding and use of myths evolve with time? In this course, we will explore the ancient interpretation of myth from the archaic Greek to the Roman periods. First, we will focus on the cross-cultural adaptations of Near Eastern traditions in Greek epic (Homer and Hesiod), as a form of interpretation itself. Then we will discuss how ancient poets and thinkers interpreted and reinterpreted divine narratives, paying attention to their philosophical, literary, and cultural strategies, from Orphism and Plato to the Stoics and later philosophical schools, including Euhemerism and its engagement with Phoenician mythology.",Spring,"NEHC 28499, CLAS 38422, HREL 38499, NEHC 38499, RLST 28499",Carolina López-Ruiz,None
CLCV 28524,Thessaloniki: A history of a city through the ages.  100 Units.,"This course seeks to explore the cultural and social history of the city of Thessaloniki in northern Greece from antiquity to the present. As a city of diverse populations, Thessaloniki constituted a melting pot of cultures and a hub for economic activities for a major part of its history. The course will be discussion-based and bring into dialogue textual and material evidence that illustrates various topics of the history of Thessaloniki. Among those topics, we will examine Thessaloniki's foundation, its relationship with other cities in the Hellenistic world, the formation of (ethnic) identity in Macedonia, its Christianization, its archaeological landscape, the multicultural civic identity and the construction of other (Greek, Jewish, Roman, Slavic, Ottoman), immigration movements, economy and commerce. We will explore a spectrum of historical themes, but our focus will range:  We will delve into the intricate stories of personalities, monuments, and objects. Yet, our ultimate aim will be to step back and analyze broader phenomena in their longue durée.",Autumn,"ANCM 38524, CLAS 38524",Georgios Tsolakis,None
CLCV 29500,Senior Seminar.  100 Units.,"The Senior Seminar is designed as a capstone course, and it is required for all Classics majors, whether they are writing a BA paper or not. The course meets once per week over two quarters (Autumn and Winter), for an hour and twenty minutes each week. Both quarters are required. CLCV 29500 is valued at 100 units; CLCV 29501 is valued at 0 units. Students will normally register in CLCV 29500 in Autumn quarter and CLCV 29501 in Winter quarter; but they may reverse the order of enrollment if need be.","Autumn
Winter",None,Staff,None
CLCV 29501,Senior Seminar.  000 Units.,"The Senior Seminar is designed as a capstone course, and it is required for all Classics majors, whether they are writing a BA paper or not. The course meets once per week over two quarters (Autumn and Winter), for an hour and twenty minutes each week. Both quarters are required. CLCV 29500 is valued at 100 units; CLCV 29501 is valued at 0 units. Students will normally register in CLCV 29500 in Autumn quarter and CLCV 29501 in Winter quarter; but they may reverse the order of enrollment if need be.",Winter,None,Staff,CLCV 29500
CLCV 29700,Reading Course: Classical Civ.  100 Units.,"No description available.
Prerequisite(s): Consent of faculty sponsor and director of undergraduate studies
Note(s): Students are required to submit the College Reading and Research Course Form.","Autumn,Winter,Spring",None,N/A,None
GREK 10100,Introduction to Attic Greek I.  100 Units.,"Ancient Greek: for thousands of years, people have learned this language to go deeper into the thoughts and worlds of Plato, Homer, Sappho, and Early Christianity and more. In this course sequence, you too can begin to learn this language. GREK 101 introduces the study of Ancient Greek. Course work involves reading practice, writing individual sentences and coherent stories, formal study of grammar and vocabulary, and other linguistic skills as necessary. Throughout the course, students will encounter authentic Ancient Greek texts. Students who complete this course will be able to understand simple sentences and combine them into larger units of meaning. This course is appropriate for students who have never studied Greek before.",Autumn,None,Christopher Simon,None
GREK 10200,Introduction To Attic Greek II.  100 Units.,"Ancient Greek: for thousands of years, people have learned this language to go deeper into the thoughts and worlds of Plato, Homer, Sappho, and Early Christianity and more. In this course sequence, you too can begin to learn this language. GREK 102 continues the study of basic Ancient Greek. Course work involves reading practice, writing individual sentences and coherent stories, formal study of grammar and vocabulary, and other linguistic skills as necessary. Throughout the course, students will encounter authentic Ancient Greek texts. Students who complete this course will be able to understand complex sentences and combine them into larger units of meaning. This course is appropriate for students who have completed GREK 101 or equivalent work",Winter,None,Christopher Simon,GREK 10100
GREK 10300,Introduction to Attic Greek III: Prose.  100 Units.,"Ancient Greek: for thousands of years, people have learned this language to go deeper into the thoughts and worlds of Plato, Homer, Sappho, and Early Christianity and more. In this course sequence, you too can begin to learn this language. GREK 103 continues the study of basic Ancient Greek. Course work involves reading practice, writing individual sentences and coherent stories, formal study of grammar and vocabulary, and other linguistic skills as necessary. Throughout the course, students will encounter authentic Ancient Greek text. Students who complete this course will be able to track ideas across at least a paragraph of text and will be ready to move into the intermediate sequence (GREK 20100-20200-20300). This course is appropriate for students who have completed GREK 102 or equivalent",Spring,None,Christopher Simon,GREK 10200
GREK 10123,Summer Intensive Introductory Ancient Greek.  300 Units.,"Summer Introductory Ancient Greek comprises a thorough introduction to the Classical Greek language in eight weeks.  Through a daily mixture of synchronous and asynchronous activities students learn new grammatical concepts and morphology, practice reading and translating increasingly complex Greek texts, and complete exercises in Greek to gain an active command of the language. In the latter half of the course, students will also read unadapted Greek from classical prose authors, including Plato and Xenophon. By the end of the 8 weeks, students will be thoroughly familiar with Classical Greek idiom and sentence structure, and will be able to proceed to reading courses in the language.",Summer,None,Staff,None
GREK 20100,Intermediate Greek I:  100 Units.,"Immerse yourself in real writings from Ancient Greece. Readings this quarter concentrate on selections of Greek prose (for instance, by Plato), with an aim to improve reading skills, discuss key concepts in Greek history and culture, and expand knowledge of grammar and vocabulary as necessary. This course is usually appropriate for students who have completed GREK 103, or several years of high school Greek, or equivalent work.",Autumn,None,Jonah Radding,GREK 10300 or equivalent
GREK 20200,Intermediate Greek II:  100 Units.,"Immerse yourself in real writings from Ancient Greece. Readings this quarter concentrate on selections of Greek poetry (for instance, by Euripides), with an aim to improve reading skills, discuss key concepts in Greek history and culture, and expand knowledge of grammar and vocabulary as necessary. This course is usually appropriate for students who have completed GREK 201, or equivalent work.",Winter,None,Jonah Radding,GREK 20100 or equivalent
GREK 20300,Intermediate Greek III.  100 Units.,"Immerse yourself in real writings from Ancient Greece. This course involves reading selections from a major monument of Greek literature (for instance, The Iliad). There will be discussion of the relationship between language and literary art, the legacy of the work or works studied, and study of grammar and vocabulary as necessary. This course is appropriate for students who have completed GREK 201, or GREK 202, or equivalent work.",Spring,None,Staff,GREK 20200 or equivalent
GREK 20123,Summer Intensive Intermediate Ancient Greek.  300 Units.,"Summer Intensive Intermediate Greek combines extensive reading of texts with a comprehensive review of Classical grammar and syntax; it prepares students for advanced courses in Greek and for the use of Greek texts in their research. Texts studied are taken from a variety of representative and important Classical authors, and typically include Plato and Herodotus, Demosthenes or Thucydides. The backbone of the review sessions is Mastronarde's Introduction to Ancient Greek combined with sight reading skill practice. The program combines daily synchronous and asynchronous activities. Students are responsible for considerable amounts of class preparation in the evenings, requiring a full-time commitment for the duration of the course. This course equips students to continue with advanced coursework or independent reading in Ancient Greek in all its varieties. Summer Intermediate Greek corresponds to a full year's worth of instruction at the University of Chicago.",Summer,None,Staff,Successful completion of GREK 10300 or the equivalent placement.
GREK 23223,Hellenistic Literature.  100 Units.,"This course features selections from the poetry and/or prose of the Hellenistic periods. This year we will read selections from the poetry, with a particular focus on Theocritus and Callimachus.",Spring,GREK 33223,C. Faraone,None
GREK 23724,Homer's Odyssey:  Homecomings.  100 Units.,"Homer's Odyssey describes the homecoming of Odysseus in a series of poignant, half-hidden, and sometimes misaligned reunions with his loved ones. In this course we will read in Greek many of the Odyssey's homecoming scenes of the Odyssey, including all of Books 19 and 23. Our focus will be on how the poem depicts the complex character of Odysseus through its recognition (and misrecognition) scenes. Much of our conversation will center on Penelope, the mutual testing between her and her husband, and the degree to which we can attribute ""like-mindedness"" (homophrosyne) to their relationship.",Autumn,CLAS 33724,Emily Austin,None
GREK 24124,Athanasius on the Incarnation.  100 Units.,"Athanasius was born and reared in Alexandria where he received a thorough classical education. He eventually became secretary to the bishop Alexander, with whom he attended the Council of Nicaea in 325 and whom he succeeded as bishop of Alexandria in 328. For the rest of his life, both in his theological writings and in his turbulent ecclesiastical career, he was a fervent advocate for the Nicene formulations, resisting Arianism at every turn. His most famous work, the De Incarnatione, expounds how Jesus the Word, by becoming flesh, restores to fallen humans the image of God in which they were created. We will read a good part (about 60 pages) of this celebrated treatise with attention to Athanasius' straightforward Greek style, his portrait of the logos, and his enduring contribution to Trinitarian theology.",Autumn,"GREK 34124, RLST 22215, BIBL 42215",David Martinez,None
GREK 25624,Plutarch.  100 Units.,"Plutarch's biographies and his writing on literature and morality stand in a long tradition. In this class we will read passages from Plutarch in Greek and compare them to similar texts, such as the relevant sections of Plato's Republic and Aristotle's Poetics. The aim is to evaluate Plutarch's contribution to a literary critical tradition while also comparing his Greek to that of his predecessors.",Winter,CLAS 35624,Patrice Rankine,None
GREK 26324,Aristophanes takes on Euripides.  100 Units.,"Criticism of new-fangled takes on established art forms is at least as old as ... Aristophanes. 
Aristophanes is not a fan of Euripides, and tells us so to hilarious effect. Starting with the Frogs, we will examine a number of plays of Aristophanes in which he takes on Euripides, 
and in addition, we read some of the Euripidean plays that appear to have inspired the criticism, such as Euripides' Helen in combination with Aristophanes' Thesmophoriazusae.",Winter,"CLCV 26324, GREK 36324, CLAS 36324",Helma Dik,None
GREK 27122,Praising the Gods: Greek Hymnic Poetry and Its Context.  100 Units.,"In this course we will read a broad range of Greek hymnic poetry, starting with Hesiod's invocation to the Muses in the Theogony, followed by a selection from the Homeric Hymns, the Orphic hymns, and later literary or philosophical hymns by Callimachus and Proclus. Close readings will explore matters of language, genre, and literary tropes, as well as the evolving religious and cultural context of the hymns through the long chronological span in which the genre was productive in Greek antiquity.",Winter,"HREL 47518, GREK 37122, CLAS 37522, RLST 27518, CLCV 27522",Carolina López-Ruiz,None
GREK 27423,The Acts of Paul and Thecla and the Pastoral Epistles.  100 Units.,"In the early second century there were bitter battles over the legacy of Paul and his preserved letters in terms of gender, sexuality, family life, asceticism, church administration, and theological vision. We can see these well by reading the narrative text The Acts of Paul and Thecla alongside the ""Pastoral Epistles"" (1 and 2 Timothy, Titus), the former championing a female, cross-dressing ascetic Christ-missionary and the latter, in pseudepigraphical epistolary texts written in the dead Paul's name, insisting on patriarchal family life and women's adherence to traditional roles. In this course we shall read both sets of texts carefully in Greek, noting points of similarity and contestation, and test various models of how these sources-each of which seeks to ""fix"" the Pauline legacy in its own way-are related to one another. Time allowing, we shall also look at the later reception of the cult of Saint Thecla and late antique interpretations of ""the apostle,"" Paul, on these issues of sexuality and gender roles, and their perduring influence in contemporary debates.",Autumn,"HCHR 42035, GNSE 22035, BIBL 42035, RLST 22035, FNDL 22035, GREK 37423, GNSE 42035",Margaret Mitchell,None
GREK 29700,Reading Course: Greek.  100 Units.,"No description available.
Prerequisite(s): Students are required to submit the College Reading and Research Course Form.","Autumn
Winter",None,Staff,Students are required to submit the College Reading and Research Course Form.
LATN 10100,Introduction to Classical Latin I.  100 Units.,"For centuries people have learned this language to go deeper into the thoughts and worlds of Ancient Rome, the Middle Ages, and the Renaissance. In this course sequence, you too can begin to learn this language. LATN 101 introduces the study of Latin. Course work involves reading Latin, writing individual sentences and coherent stories, formal study of grammar and vocabulary, and other linguistic skills as necessary. Throughout the course, students will encounter authentic Latin texts. Students who complete this course will be able to understand simple sentences and combine them into larger units of meaning. This course is appropriate for students who have never studied Latin before.",Autumn,None,C. Shelton,None
LATN 10200,Introduction to Classical Latin II.  100 Units.,"For centuries people have learned this language to go deeper into the thoughts and worlds of Ancient Rome, the Middle Ages, and the Renaissance. In this course sequence, you too can begin to learn this language. LATN 102 continues the study of basic Latin. Course work involves reading Latin, writing individual sentences and coherent stories, formal study of grammar and vocabulary, and other linguistic skills as necessary. Throughout the course, students will encounter authentic Latin texts. Students who complete this course will be able to understand complex sentences and combine them into larger units of meaning. This course is appropriate for students who have completed LATN 101 or equivalent work.",Winter,None,Colin Shelton,LATN 10100
LATN 10300,Introduction to Classical Latin III.  100 Units.,"For centuries people have learned this language to go deeper into the thoughts and worlds of Ancient Rome, the Middle Ages, and the Renaissance. In this course sequence, you too can begin to learn this language. LATN 103 continues the study of basic Latin. Course work involves reading Latin, writing individual sentences and coherent stories, formal study of grammar and vocabulary, and other linguistic skills as necessary. Throughout the course, students will encounter authentic Latin text. Students who complete this course will be able to track ideas across at least a paragraph of text and will be ready to move into the intermediate sequence (LATN 20100-20200-20300).This course is appropriate for students who have completed LATN 102 or equivalent work.",Spring,None,Staff,LATN 10200
LATN 10123,Summer Intensive Introductory Latin.  300 Units.,"Summer Intensive Introductory Latin offers a comprehensive introduction to Classical Latin language in eight weeks. Through a daily mixture of synchronous and asynchronous activities, students learn new grammatical concepts and morphology, practice reading and translating increasingly complex Latin texts, and complete exercises in Latin to gain an active command of the language. Students will also read unadapted Latin from classical authors, including Caesar, Sallust, and Cicero. By the end of the summer Latin course, students will be thoroughly familiar with Latin idiom and sentence structure and will be able to proceed to reading courses in the language.",Summer,None,Staff,None
LATN 11100,Accelerated Introduction to Classical Latin I.  100 Units.,"This course covers the first half of the introductory Latin textbook. Classes are devoted to the presentation of grammar, discussion of problems in learning Latin, and written exercises.",Autumn,None,Christopher Simon,None
LATN 11200,Accelerated Introduction to Classical Latin II.  100 Units.,"This course begins with the completion of the basic text begun in LATN 11100 and concludes with readings from Cicero, Caesar, or other prose texts in Latin.",Winter,None,Christopher Simon,LATN 11100
LATN 11400,Latin for Post Beginners I.  100 Units.,"This course is intended for students with some experience in Latin to quickly review what they know and upgrade their skills in reading and understanding Latin. In this course, students will expand their vocabulary, learn more advanced grammar, and practice extensive reading.",Winter,None,Staff.,None
LATN 20100,Intermediate Latin I.  100 Units.,"Immerse yourself in real writings from Ancient Rome, and the long subsequent tradition of Latin literature. Readings this quarter concentrate on selections of Roman prose (for instance, by Cicero), with an aim to improve reading skills, discuss key concepts in Roman history and culture, and expand knowledge of grammar and vocabulary as necessary. This course is usually appropriate for students who have completed LATN 103, or several years of high school Latin, or equivalent work.",Autumn,None,Michael Allen,LATN 10300 or equivalent
LATN 20200,Intermediate Latin II.  100 Units.,"Immerse yourself in real writings from Ancient Rome, and the long subsequent tradition of Latin literature. Readings this quarter concentrate on selections of Roman poetry (for instance, by Ovid). The class involves discussion of poetic language, the literary and historical context of Roman poetry, and study of grammar and vocabulary as necessary. This course is appropriate for students who have completed LATN 201 or equivalent work.",Winter,None,Staff,LATN 20100 or equivalent
LATN 20300,Intermediate Latin III.  100 Units.,"Immerse yourself in real writings from Ancient Rome, and the long subsequent tradition of Latin literature. This course involves reading selections from a major monument of Roman literature (for instance, Vergil's Aeneid). There will be discussion of the relationship between language and literary art, the legacy of the work or works studied, and study of grammar and vocabulary as necessary. This course is appropriate for students who have completed LATN 201, or LATN 202, or equivalent work.",Spring,None,Christopher Simon,LATN 20200 or equivalent
LATN 20123,Summer Intensive Intermediate Latin.  300 Units.,"Summer Intermediate Latin combines extensive reading of texts with a comprehensive review of classical grammar and syntax; it prepares students for advanced courses in Latin and for the use of Latin texts in the course of their research. Texts studied are taken from one or more representative and important authors, which may include Cicero, Seneca, Pliny, and others. The course also includes sessions which combine intensive review of basic grammar with supplementary exercises in composition. The program includes synchronous meetings five days a week as well as daily asynchronous assignments. Students are responsible for considerable amounts of class preparation during the evenings, requiring a full-time commitment for the duration of the course. Summer Intermediate Latin equips students to continue with advanced coursework or independent reading in Latin in all its varieties. Summer Intermediate Latin corresponds to a full year's worth of instruction at the University of Chicago.",Summer,None,N/A,Successful completion of LATN 10300 or equivalent placement.
LATN 20323,High and Later Medieval Intermediate Latin.  100 Units.,"The course continues the work of grammatical extension and
consolidation.  We shall cover a variety of poetry and prose by great
Latin stylists from the twelfth to the fourteenth century, including
Bernard of Clairvaux, Peter of Blois, Petrarch, and Dante.  The authors
chosen will all be significant for their efforts to reflect the highest
classical standards.",Spring,None,Michael Allen,LATN 202 or equivalent
LATN 20324,Later and Early Medieval Intermediate Latin II.  100 Units.,"The course continues to consolidate the foundations extended in the
autumn course based on readings from Cicero. We shall cover a variety
of poetry and prose from Late Antiquity and the Early Middle Ages,
including selections from Boethius, Bede, Lupus of Ferrières, Nithard,
and others. The authors chosen will all be significant for their
efforts to reflect the highest classical standards.",Spring,None,Michael Allen,LATN 20200/20223
LATN 21900,Roman Comedy.  100 Units.,"Plautus' Pseudolus is read in Latin, along with secondary readings that explain the social context and the theatrical conventions of Roman comedy. Class meetings are devoted less to translation than to study of the language, plot construction, and stage techniques at work in the Pseudolus.",Spring,LATN 31900,David Wray,None
